Requirement ID,Requirement Name,Requirement Description
REQ052,F52_Login Functionality,"The system shall provide a login form for returning customers to access their accounts. The login page includes: Email/Username input field (depending on whether usernames are enabled in Customer settings), Password input field, 'Remember me' checkbox, 'Forgot password?' link, and 'Log in' button. The system validates credentials against the database using the configured password format (Clear, Hashed, or Encrypted). Security features include: configurable maximum login failures before lockout, lockout duration, and password lifetime/expiration policies. Login supports external authentication methods (e.g., Facebook, Google) if configured. After successful login, the customer is redirected to their previous page or the account dashboard. The login form also appears during checkout for returning customers, alongside guest checkout and registration options."
REQ053,F53_Remember Me Option,"The system shall provide a 'Remember Me' checkbox to allow users to stay logged in on future visits. The 'Remember me' checkbox is displayed on the login form. When selected, the authentication cookie is set with an extended expiration period, allowing the customer to remain authenticated across browser sessions without re-entering credentials. When not selected, the authentication cookie expires at the end of the browser session. The persistent login uses secure, encrypted authentication tokens stored as browser cookies. This feature respects the customer's session security preferences and can be configured at the application level."
REQ054,F54_Forgot Password,"The system shall provide a 'Forgot Password' link for users to reset their password if needed. The 'Forgot password?' link on the login page navigates to a password recovery page where the customer enters their registered email address. The system sends a password recovery email using the 'Customer.PasswordRecovery' message template containing a unique, time-limited reset link. The 'Password recovery link. Days valid' setting (in Customer settings → Password and security) defines the link's validity period (set to 0 for no expiration). After clicking the reset link, the customer is directed to a page where they enter and confirm a new password, subject to the same password complexity validation rules as registration. The system enforces unduplicated password rules if configured."
REQ055,F55_Email and Password Validation,"The system shall validate email and password fields to ensure correct user input. Email validation ensures the entered email follows a valid format (e.g., user@domain.com) using standard email regex patterns. The system can optionally require email entry twice during registration ('Force entering email twice'). Password validation enforces configurable complexity rules: minimum length, at least one lowercase character, at least one uppercase character, at least one non-alphanumeric character, at least one digit, and unduplicated password history. During login, the system validates that the email/username exists and the password matches the stored hash. All form validations display inline error messages highlighting the specific field with the validation failure. Client-side validation provides immediate feedback, while server-side validation ensures security."
REQ056,F56_Authentication Security,"The system shall implement security measures such as encryption and protection against brute-force attacks during login. nopCommerce implements multiple security measures: (1) Password storage — passwords are stored using configurable formats: Hashed (recommended, using secure hashing algorithms), Encrypted, or Clear text. (2) Brute-force protection — configurable 'Maximum login failures' threshold, after which the account is locked for a configurable 'Lockout time (login failures)' duration in minutes. (3) SSL/HTTPS support — the system supports SSL certificates for encrypted communication. (4) CAPTCHA — configurable reCAPTCHA on login, registration, contact forms, and other sensitive pages. (5) Password policies — password lifetime/expiration, complexity requirements, and unduplicated password history. (6) PCI DSS compliance guidance — for credit card handling with secure payment processing. (7) Content Security Policy (CSP) headers support. (8) Anti-forgery tokens on forms to prevent CSRF attacks."
REQ057,F57_Login Error Messages,"The system shall display appropriate error messages when invalid credentials are entered. When a user enters incorrect login credentials (wrong email/username or password), the system displays a clear error message such as 'Login was unsuccessful. Please correct the errors and try again. No customer account found' or 'The credentials provided are incorrect.' Error messages are designed to be informative without revealing whether the email exists in the system (for security). After reaching the maximum login failures threshold, the system displays a lockout message indicating the account is temporarily locked. Validation error messages also appear for: empty required fields, invalid email format, password not meeting complexity requirements, and account not activated (pending email verification or admin approval)."
REQ058,F58_Checkout as Guest Button,"The system shall provide a button to allow users to continue to checkout as a guest. On the checkout login page, a 'Checkout as Guest' button is prominently displayed when anonymous checkout is allowed (Order settings → 'Anonymous checkout allowed'). Clicking the button bypasses the registration/login requirement and proceeds directly to the billing address step of the checkout process. Guest users must provide all required billing information including: first name, last name, email, country, state/province, city, address, zip/postal code, and phone number. The guest checkout option is not available if all products in the cart are downloadable and 'Require registration for downloadable products' is enabled in Customer settings."
REQ059,F59_Register Button,"The system shall provide a button to allow new users to register for an account. On the checkout login page, a 'Register' button navigates to the registration form. The registration form collects: Gender (if enabled), First name, Last name, Date of birth (if enabled, with minimum age validation), Email address, Company name (if enabled), Newsletter subscription checkbox, Password, and Confirm password. All enabled fields can be individually configured as required or optional in Customer settings → Customer form fields. After successful registration, the customer is either immediately logged in (standard registration), prompted to verify their email (email validation), or informed that admin approval is pending. The 'Register' button is also available from the header navigation for non-checkout registration."
REQ060,F60_Login Button,"The system shall provide a button to allow returning users to log in. On the checkout login page, a 'Log in' section provides email/username and password fields with a 'Log in' button. This allows returning customers to authenticate before proceeding to checkout, enabling access to saved addresses, order history, reward points, and other account-specific features during the checkout process. The login section includes the 'Forgot password?' link and 'Remember me' checkbox. After successful authentication, the customer proceeds to the billing address step with any previously saved addresses pre-populated for selection."
REQ061,F61_Billing Address Form,"The system shall provide a form for users to enter their billing address details including first name, last name, email, company, country, state, city, address, postal code, phone number, and fax number. During the billing address step of checkout, the system presents an address form with all configurable fields. For registered customers, previously saved addresses are displayed for quick selection, with an option to enter a new address. Address form fields are configurable in Customer settings → Address form fields, where each field (Company, Street address, Street address 2, Zip/postal code, City, County/region, Country, State/province, Phone, Fax) can be individually enabled/disabled and set as required/optional. Country selection populates a dynamic State/Province dropdown. Custom address attributes can be added for additional fields beyond the defaults. The form supports international address formats."
REQ062,F62_Mandatory Fields,"The system shall enforce mandatory fields (marked with an asterisk) to ensure essential billing information is provided before proceeding. All required address form fields are marked with a red asterisk (*) indicator. The system prevents the customer from proceeding to the next checkout step until all mandatory fields are filled with valid data. Required fields are configurable per field in Customer settings → Address form fields (e.g., 'Street address' enabled + required, 'Phone number' enabled + required). Default mandatory fields typically include: First name, Last name, Email, Country, City, Address 1, and Zip/postal code. Both client-side (JavaScript) and server-side validation are performed. Error messages are displayed inline next to the specific field that failed validation, clearly indicating what information is missing or invalid."
REQ063,F63_Country and State Selection,"The system shall provide dropdown menus for selecting country and state to ensure proper address format. The Country dropdown is populated from the country list managed in Configuration → Countries. The State/Province dropdown dynamically loads states/provinces based on the selected country via AJAX. Countries and states can be individually enabled/disabled, and the list includes international countries with ISO codes. The country selection also affects: available shipping methods and rates, tax calculations, address format validation (e.g., zip code format), and available payment methods. Some countries may not have states configured, in which case the state dropdown may show 'Other' or be hidden. The system supports country-specific address formatting rules."
REQ064,F64_Ship to Same Address,"The system shall provide an option for users to use the same billing address for shipping. During checkout, the billing address step includes a 'Ship to the same address' checkbox (enabled by default). When checked, the shipping address step is skipped, and the billing address is automatically used as the shipping address. When unchecked, the customer proceeds to a separate shipping address step where they can select from saved addresses or enter a new shipping address. The 'Disable Billing address step' option in Order settings can pre-fill billing information from the customer's default registration address. For products that don't require shipping (e.g., digital downloads, services), the shipping address step is automatically skipped."
REQ065,F65_Continue Button,"The system shall provide a 'Continue' button to proceed to the next step in the checkout process. Each step in the multi-step checkout process includes a 'Continue' button at the bottom. The button is enabled only after all required fields are completed and validated. In multi-step checkout, clicking 'Continue' saves the current step's data and advances to the next step (e.g., Billing Address → Shipping Address → Shipping Method → Payment Method → Payment Info → Confirm Order). In one-page checkout, clicking 'Continue' on a section collapses it (showing a summary) and expands the next section. The button text may vary by step (e.g., 'Continue' or 'Confirm'). AJAX is used for seamless transitions between steps without full page reloads in one-page checkout mode."
REQ066,F66_Form Validation,"The system shall validate all entered information to ensure completeness and correct formatting before allowing the user to continue. Comprehensive form validation is applied at each checkout step: (1) Billing/Shipping Address — validates required fields, email format, zip code format based on country, and phone number format if validation is enabled. (2) Shipping Method — ensures a shipping method is selected. (3) Payment Method — ensures a payment method is selected. (4) Payment Information — validates credit card number (Luhn algorithm), expiration date (not expired), CVV format, and cardholder name. Both client-side (JavaScript/jQuery validation) and server-side validation are performed. Phone number validation supports regex patterns (configurable in Customer settings). Error messages appear inline next to the relevant field with clear descriptions of the validation failure."
REQ067,F67_Email Format Validation,"The system shall verify that the email address entered follows a valid email format. Email format validation is applied on all email input fields throughout the system (registration, checkout, contact forms, email-a-friend, newsletter subscription). The validation uses standard email format regex patterns to verify the structure: local-part@domain (e.g., user@example.com). Both client-side validation (immediate feedback as the user types or on form submission) and server-side validation (to prevent bypassing) are applied. If the format is invalid, an inline error message is displayed (e.g., 'Please enter a valid email address'). The 'Force entering email twice' setting in Customer settings can require customers to re-enter their email during registration for confirmation. Email uniqueness is also validated during registration."
REQ068,F68_Zip Code Validation,"The system shall validate the zip/postal code based on the selected country. The zip/postal code field is validated based on the customer's selected country to ensure it follows the correct format (e.g., 5-digit or ZIP+4 format for US, alphanumeric format for UK/Canada). The 'Zip/postal code' field can be enabled/disabled and set as required in Customer settings → Address form fields and Customer form fields. Validation rules may use regex patterns specific to each country's postal code format. The system displays an error message if the entered zip code does not match the expected format for the selected country. This validation applies to both billing and shipping address forms during checkout and in the customer account address management."
REQ069,F69_International Address Support,"The system shall support international addresses by allowing users to select their country and input the appropriate details. nopCommerce supports international addresses through: (1) A comprehensive country list (Configuration → Countries) with ISO country codes, two-letter and three-letter codes, numeric codes, and configurable enabled/published states. (2) Dynamic state/province lists per country. (3) Configurable address form fields that accommodate different international address formats. (4) Multi-currency support for displaying prices in local currencies. (5) Multi-language support for the entire storefront. (6) International shipping methods and rate calculations based on destination country. (7) Tax configuration per country/state for VAT and other regional taxes. (8) Country-specific store preconfiguration during initial setup (language packs, VAT settings, currencies, measures, shipping details)."
REQ070,F70_Shipping Method Selection,"The system shall allow users to select a shipping method from available options (e.g., Ground, Next Day Air, 2nd Day Air). The shipping method step in checkout displays all available shipping options based on the customer's shipping address, cart contents (weight, dimensions), and configured shipping providers. nopCommerce supports multiple shipping computation methods: Fixed Rate Shipping, Shipping by Weight, Shipping by Total, and real-time carrier rate plugins (UPS, USPS, FedEx, etc.). Each shipping option displays: method name (e.g., 'Ground', 'Next Day Air', '2nd Day Air'), brief description, and shipping cost. Pickup in store can also be displayed on this step (configurable). The system also supports free shipping for specific products, customer roles, or orders meeting minimum thresholds. Shipping restrictions can limit methods based on country or customer role."
REQ071,F71_Shipping Method Description,"The system shall provide a brief description of each shipping method to inform users about the delivery type. Each shipping method displayed during checkout includes a name and a brief description explaining the service level (e.g., 'Ground — Delivery in 5-7 business days', 'Next Day Air — Overnight delivery by noon'). Descriptions are configured when setting up shipping methods in Configuration → Shipping → Shipping providers and their rate computation methods. For real-time carrier rates, descriptions are typically provided by the carrier's API response. The description helps customers make informed decisions about delivery speed vs. cost tradeoffs."
REQ072,F72_Default Shipping Selection,"The system shall pre-select a default shipping method for user convenience. The shipping method step in checkout pre-selects the first available shipping option by default using a radio button selection. This ensures that the customer can quickly proceed to the next step without manual selection if the default option is acceptable. The pre-selected method is typically the first shipping option in the list, ordered by the shipping provider's configured display order or by cost (lowest first). Customers can change the selection by clicking a different radio button before clicking 'Continue'. The pre-selected shipping cost is reflected in the order totals summary."
REQ073,F73_Navigation Back Button,"The system shall provide a 'Back' button to allow users to return to the previous step in the checkout process. Each step in the multi-step checkout process (except the first step) includes a 'Back' button alongside the 'Continue' button. Clicking 'Back' navigates the customer to the previous checkout step while preserving all previously entered data (billing address, shipping address, etc.). In one-page checkout, the 'Back' functionality allows expanding a previous section to make changes. This enables customers to review and modify their selections (address, shipping method, payment method) at any point before confirming the order without losing their progress."
REQ074,F74_Continue Button,"The system shall provide a 'Continue' button to allow users to proceed to the next step in the checkout process. This requirement applies to the shipping method selection step specifically. After the customer selects a shipping method (or accepts the pre-selected default), clicking the 'Continue' button validates the selection and advances to the payment method step. The button is active as long as a shipping method is selected (radio button checked). The order totals update to reflect the selected shipping cost before proceeding."
REQ075,F75_Shipping Cost Display,"The system shall display the cost of each shipping method (even if $0.00) to ensure transparency in pricing. Every shipping option displayed during checkout shows its associated cost in the store's configured currency, including methods with zero cost (displayed as '$0.00' or 'Free'). This ensures complete pricing transparency so customers know exactly what they will pay for shipping. For products marked with 'Free shipping' on the product edit page, the shipping cost reflects this. The system also supports 'Additional shipping charge' per product, which is added on top of the base shipping rate. All shipping costs are included in the order totals summary, making the total cost clear before order confirmation."
REQ076,F76_Validation of Selection,"The system shall ensure that a shipping method is selected before allowing users to continue to the next step. Validation on the shipping method step ensures that at least one shipping method radio button is selected before the 'Continue' button processes the request. If no shipping method is selected (though a default is typically pre-selected), the system displays a validation error message prompting the customer to select a shipping method. This server-side validation prevents proceeding to the payment step without a valid shipping selection. If no shipping methods are available for the customer's address (e.g., restricted shipping zones), an appropriate message is displayed."
REQ077,F77_Payment Method Selection,"The system shall allow users to select a payment method from available options (e.g., Check/Money Order, Credit Card). The payment method step in checkout displays all configured and active payment methods as radio button options. nopCommerce supports multiple payment method plugins: Check/Money Order, Credit Card (Manual), Purchase Order, PayPal (Standard, Smart Payment Buttons), Stripe, Square, Authorize.Net, and many more via the plugin marketplace. Each payment method is configured in Configuration → Payment methods with display order, restricted countries, and minimum/maximum order amounts. Payment methods can support different transaction modes: Authorize only, Authorize and Capture, or direct payment. The available methods may vary based on the order total, customer role, and shipping country."
REQ078,F78_Payment Method Description,"The system shall provide a brief description of each payment method to inform users about the payment process. Each payment method displayed during checkout includes a name and descriptive text explaining how the payment works (e.g., 'Check / Money Order — Pay by check or money order', 'Credit Card — Pay using Visa, Mastercard, Amex'). Descriptions are configured in the payment method plugin settings. Some payment methods may also display logos (e.g., credit card brand logos). The descriptions help customers understand the payment process, expected timelines, and any special instructions associated with each method."
REQ079,F79_Default Payment Selection,"The system shall pre-select a default payment method for user convenience. The payment method step pre-selects the first available payment method using a radio button, allowing customers to quickly proceed if the default is acceptable. The pre-selection follows the configured display order of payment methods. Customers can change the selection by clicking a different payment method radio button. The selected payment method determines what additional information is collected in the next step (e.g., credit card details for card payments, no additional info for check/money order)."
REQ080,F80_Navigation Back Button,"The system shall provide a 'Back' button to allow users to return to the previous step (shipping method) in the checkout process. The payment method step includes a 'Back' button that navigates to the shipping method step while preserving all entered data. This allows customers to modify their shipping selection if needed. All previously entered billing address, shipping address, and shipping method selections are retained when navigating back."
REQ081,F81_Continue Button,"The system shall provide a 'Continue' button to allow users to proceed to the next step (payment information) in the checkout process. After selecting a payment method, clicking 'Continue' advances to the payment information step where additional details are collected based on the selected method (e.g., credit card form for card payments). The button validates that a payment method is selected before proceeding."
REQ082,F82_Validation of Selection,"The system shall ensure that a payment method is selected before allowing users to continue to the next step. Validation on the payment method step ensures a radio button is selected. If no payment method is selected (though a default is typically pre-selected), a validation error prompts the customer to make a selection. If no payment methods are available or configured, an appropriate error message is displayed. Server-side validation prevents proceeding without a valid selection."
REQ083,F83_Select Credit Card Type,"The system shall allow users to select a credit card type from a dropdown menu. When the Credit Card (Manual) payment method is selected, the payment information step displays a form including a 'Credit card type' dropdown with options such as Visa, Mastercard, American Express, and Discover. The available card types are configured in the payment method plugin settings. The selected card type is validated against the entered card number prefix (e.g., Visa starts with 4, Mastercard with 5). This field is required for manual credit card processing."
REQ084,F84_Cardholder Name Input,The system shall provide an input field for users to enter the name on the credit card. The 'Cardholder name' text field on the credit card payment form requires the customer to enter the full name as printed on the credit card. This is a required field validated for non-empty input. The name is used for payment processing and order records. Client-side and server-side validation ensure the field is completed before form submission.
REQ085,F85_Card Number Input,"The system shall provide an input field for users to enter their credit card number. The 'Card number' text field accepts the full credit card number (typically 13-19 digits). The field includes client-side validation using the Luhn algorithm to verify the number's mathematical validity before submission. The input may include auto-formatting (spaces between groups of digits) for readability. The card number is validated against the selected card type (Visa, Mastercard, etc.) based on number prefix patterns. For PCI DSS compliance, the full card number should only be transmitted over HTTPS/SSL encrypted connections."
REQ086,F86_Expiration Date Selection,"The system shall provide dropdown menus for users to select the expiration month and year of the credit card. Two dropdown fields are displayed: Expiration Month (01-12) and Expiration Year (current year through several years in the future). The system validates that the selected expiration date is not in the past (i.e., the card has not expired). Both dropdowns are required fields. The expiration date is used in conjunction with the card number and CVV for payment authorization."
REQ087,F87_Card Security Code Input,"The system shall provide an input field for users to enter the card's security code (CVV). The 'Card code' or 'CVV/CVC' text field accepts the 3 or 4 digit security code printed on the credit card (3 digits for Visa/Mastercard on the back, 4 digits for American Express on the front). The field is validated for numeric input and correct length based on the selected card type. This code provides an additional layer of security for card-not-present transactions. The CVV is never stored in the database per PCI DSS requirements."
REQ088,F88_Navigation Back Button,The system shall provide a 'Back' button to allow users to return to the previous step (payment method selection) in the checkout process. The payment information step includes a 'Back' button that returns to the payment method step while preserving entered credit card data in the current session. This allows customers to change their payment method selection if needed.
REQ089,F89_Continue Button,"The system shall provide a 'Continue' button to allow users to proceed to the order confirmation step. After entering all payment information (credit card details), clicking 'Continue' validates all fields and advances to the Confirm Order step where the customer reviews the complete order summary before final submission."
REQ090,F90_Form Validation,"The system shall validate all credit card details before allowing users to proceed to the next step. Comprehensive validation is performed on all credit card fields: (1) Card type — must be selected from the dropdown. (2) Cardholder name — required, non-empty. (3) Card number — required, numeric, valid length, passes Luhn algorithm check, matches selected card type prefix. (4) Expiration date — required, month and year selected, not expired. (5) Card code (CVV) — required, numeric, correct length (3 or 4 digits based on card type). Both client-side (JavaScript) and server-side validation are performed. Validation errors are displayed inline next to the specific field. The payment gateway may also return additional validation errors during authorization."
REQ091,F91_Secure Payment Processing,"The system shall ensure secure handling of credit card information using encryption and compliance with PCI DSS. nopCommerce supports PCI DSS compliance through: (1) SSL/TLS encryption — all payment pages must use HTTPS to encrypt data in transit. (2) No storage of full card numbers — by default, credit card details are not stored in the nopCommerce database (except when using the Manual Credit Card method, where encrypted storage is optional). (3) Payment gateway integration — most payment methods redirect to the payment provider's secure page (hosted payment page) or use tokenization, so card data never touches the merchant's server. (4) Anti-forgery tokens on all forms. (5) Secure password storage using hashing. (6) Configurable security headers (CSP). Store owners are advised to use a dedicated IP address with SSL certificate and ensure hosting meets PCI compliance requirements."
REQ092,F93_Product Details,"The system shall display details of the ordered products on the order confirmation page, including SKU, image, product name, price, quantity, and total cost. The Confirm Order step (final step before placing the order) displays a comprehensive order review including: (1) Billing address summary. (2) Shipping address summary. (3) Selected shipping method with cost. (4) Selected payment method. (5) Product table with columns: SKU, product image, product name (with selected attribute values), unit price, quantity, and line total. (6) Order totals: sub-total, shipping, tax, discounts, gift card deductions, and grand total. This allows the customer to review all details before clicking 'Confirm' to place the order."
REQ093,F94_Order Total Calculation,"The system shall calculate and display the order total including subtotal, shipping cost, tax, and final total amount. The order totals calculation includes: (1) Sub-total — sum of all product line totals (unit price × quantity, including attribute price adjustments and tier pricing). (2) Shipping — calculated based on selected method, product weights/dimensions, and destination. (3) Tax — calculated based on product tax categories, customer address, and tax provider settings (fixed rate or country/state-specific). (4) Discounts — any applicable discount amounts deducted. (5) Gift card — any applied gift card values deducted. (6) Reward points — if used as payment. (7) Grand Total — final amount to be charged. Minimum order subtotal and total amounts can be enforced (Order settings). The order total is displayed on the shopping cart page, throughout checkout, and on the order confirmation/completed pages."
REQ094,F95_Back Navigation,"The system shall provide a 'Back' button to allow users to return to the previous step (payment information) in the checkout process. The Confirm Order step includes a 'Back' button that returns to the payment information step, allowing the customer to modify payment details before finalizing the order. All previously entered checkout data (addresses, shipping, payment) is preserved."
REQ095,F97_Billing and Shipping Address Validation,"The system shall validate that billing and shipping addresses are correctly displayed before order confirmation. The Confirm Order step displays the billing and shipping addresses as entered/selected during checkout. The system validates that both addresses contain all required fields and are properly formatted. Any address validation errors from previous steps would have been caught earlier, but the display allows the customer to visually verify accuracy. If the customer notices an error, they can use the 'Back' button to navigate to the address step and make corrections."
REQ096,F98_Payment Method Display,"The system shall display the selected payment method for user verification before order confirmation. The Confirm Order step clearly displays the selected payment method name (e.g., 'Check / Money Order', 'Credit Card') and its current status. For credit card payments, a masked card number may be shown (e.g., '**** **** **** 1234'). This allows the customer to verify their payment selection before finalizing the order."
REQ097,F99_Shipping Method Display,"The system shall display the selected shipping method for user verification before order confirmation. The Confirm Order step displays the selected shipping method name (e.g., 'Ground', 'Next Day Air'), its description, and the associated shipping cost. This allows the customer to verify the delivery method and cost before placing the order. If the customer wants to change the shipping method, they can navigate back using the 'Back' button."
REQ098,F100_Order Verification Step,"The system shall ensure that all order details are correct before allowing users to confirm the order. The Confirm Order step serves as the final verification checkpoint before order placement. It displays all order details: billing address, shipping address, shipping method with cost, payment method, product list with SKUs/images/names/prices/quantities/totals, and complete order totals (subtotal, shipping, tax, discounts, grand total). The 'Confirm' button submits the order only after all data passes final server-side validation including: address completeness, shipping method validity, payment method validity, product availability, stock verification, minimum order amounts, and terms of service agreement (if required at this step)."
REQ099,F101_Order Details Summary,"The system shall display a summary of the order after placement, including order number, order date, order status, and total order amount. After successful order placement, the Order Completed page (or Order Details page) displays: unique Order Number (with configurable format via Order ID counter and Order number mask in Order settings), Order Date (creation date/time), Order Status (Pending, Processing, Complete, or Cancelled), Payment Status (Pending, Authorized, Paid, etc.), Shipping Status (Not yet shipped, Shipped, Delivered, etc.), and the complete order total. Customers can also access their order history via My Account → Orders, where all past orders are listed with these summary details. The 'Disable Order completed page' option can automatically redirect to the order details page."
REQ100,F102_Billing and Shipping Address Display,"The system shall display the billing and shipping address details of the user on the order details page. The Order Details page (accessible via My Account → Orders → View) displays the full billing address (first name, last name, email, phone, fax, company, address lines, city, state/province, zip, country) and shipping address in separate sections. If the billing and shipping addresses are the same, both sections show the same information. For orders with 'Pick up in store' shipping, the pickup location details are displayed instead of a shipping address."
REQ101,F103_Payment Method Display,"The system shall display the selected payment method and its current status on the order details page. The Order Details page shows the Payment Method name (e.g., 'Credit Card', 'Check / Money Order') and the Payment Status (e.g., 'Pending', 'Authorized', 'Paid', 'Refunded', 'Partially Refunded', 'Voided'). The payment status reflects the current state of the payment transaction and is updated as the order progresses through fulfillment."
REQ102,F104_Shipping Method Display,"The system shall display the selected shipping method and its current status on the order details page. The Order Details page shows the Shipping Method name (e.g., 'Ground', 'Next Day Air') and the Shipping Status (e.g., 'Not yet shipped', 'Partially shipped', 'Shipped', 'Delivered'). For shipped orders, tracking numbers and shipment details are available. The shipping status is updated as shipments are created and progressed by the store administrator."
REQ103,F105_Product Details,"The system shall display details of the purchased products on the order details page, including SKU, image, product name, price, quantity, and total cost. The Order Details page contains a Products section with a table showing: product SKU, product image, product name (as a clickable link to the product page, with any selected attribute values listed), unit price, quantity ordered, and line total. For downloadable products, download links are provided (if the order is paid and download is activated). The product list matches exactly what was ordered."
REQ104,F106_Print Order,"The system shall provide a 'Print' button to allow users to print their order details. The Order Details page includes a 'Print' button that opens a printer-friendly version of the order details in a new window/tab, optimized for printing. The printable view includes all order information: order number, date, status, billing/shipping addresses, payment method, shipping method, product table, and order totals. The layout removes navigation elements and uses a clean format suitable for paper printing."
REQ105,F107_PDF Invoice Generation,"The system shall provide a 'PDF Invoice' button to allow users to download their order invoice as a PDF. The Order Details page includes a 'PDF Invoice' button that generates and downloads a PDF invoice for the order. The PDF invoice includes: store logo, order number, order date, billing/shipping addresses, payment and shipping methods, product table with SKUs/names/prices/quantities/totals, and order totals summary. PDF invoice settings are configurable in Configuration → Settings → Order settings → PDF invoice panel. PDF invoices can also be automatically attached to order-related emails (order placed, order paid, order processing, order completed) based on configuration."
REQ106,F108_Reorder Option,"The system shall provide a 'Re-order' button to allow users to place the same order again. The Order Details page includes a 'Re-order' button (visible when 'Is re-order allowed' is enabled in Order settings → Common). Clicking the button automatically adds all items from the previous order to the current shopping cart with the same quantities and attribute selections. The customer is then redirected to the shopping cart page where they can review, modify quantities, and proceed to checkout. The re-order mechanism respects current product availability, pricing, and stock levels — if a product is no longer available or out of stock, an appropriate notification is displayed."
REQ107,F109_Order Status Tracking,"The system shall display the current status of the order (e.g., pending, shipped). The order status is displayed on the Order Details page and in the My Account → Orders list. nopCommerce tracks three separate statuses: (1) Order Status — Pending, Processing, Complete, or Cancelled. The order is automatically set to Complete when payment status is 'Paid' and shipping status is 'Delivered' (or 'Shipped' if 'Complete order when delivered' is disabled). (2) Payment Status — Pending, Authorized, Paid, Partially Refunded, Refunded, or Voided. (3) Shipping Status — Not yet shipped, Partially shipped, Shipped, or Delivered. Shipment tracking numbers are provided when shipments are created, allowing customers to track their packages via the carrier's tracking system."
REQ108,F110_Sitemap Display,"The system shall provide a sitemap page that lists all key sections and categories of the website. nopCommerce generates a sitemap page accessible via a 'Sitemap' link (typically in the footer). The sitemap lists all published pages organized by section: general pages (Home, Search, News, Blog, Contact Us, My Account), product categories (with hierarchy), manufacturers, and topics/pages. Each entry is a clickable hyperlink. Additionally, nopCommerce generates an XML sitemap (sitemap.xml) for search engine crawlers, supporting SEO indexing. Topics can be included in the sitemap via the 'Include in sitemap' checkbox on the topic edit page. The sitemap page helps users navigate the site and improves search engine discoverability."
REQ109,F111_General Section Links,"The system shall display links to general pages such as Home, Search, News, Blog, Contact Us, and My Account on the sitemap page. The sitemap page organizes general/informational links in a dedicated section. These include: Home page, product Search page, News page (if news is enabled), Blog page (if blog is enabled), Contact Us page, My Account page (for registered users), Forums page (if forums are enabled), Recently viewed products, New products, Compare products list, and any published Topics/Pages included in the sitemap. Each link navigates directly to the corresponding page."
REQ110,F112_Category Section,"The system shall list product categories such as Computers, Electronics, Apparel, Digital Downloads, Books, Jewelry, and Gift Cards on the sitemap page. The sitemap page includes a Categories section listing all published product categories in their hierarchical structure (parent categories with subcategories indented). Each category is a clickable link navigating to the category details page. The categories displayed match those configured in Catalog → Categories with the Published checkbox enabled."
REQ111,F113_Manufacturer Section,"The system shall provide a section listing available manufacturers (e.g., Apple, HP, Nike) on the sitemap page. The sitemap page includes a Manufacturers section listing all published manufacturers. Each manufacturer name is a clickable link navigating to the manufacturer details page showing all products by that manufacturer. The manufacturers displayed match those configured in Catalog → Manufacturers with the Published checkbox enabled and their configured display order."
REQ112,F114_Hyperlinked Navigation,"The system shall ensure that all sitemap entries are clickable links that direct users to the corresponding sections. Every entry on the sitemap page is rendered as an HTML hyperlink (<a> tag) with the appropriate href pointing to the corresponding page's SEO-friendly URL. Clicking any link navigates the user directly to that page. Links use the configured 'Search engine friendly page name' for each entity (category, manufacturer, product, topic). All links are validated to ensure they point to published/active pages."
REQ113,F115_Search Engine Optimization (SEO),"The system shall support search engine indexing of the sitemap for improved discoverability. nopCommerce generates an XML sitemap (accessible at /sitemap.xml) following the Sitemap Protocol for search engine crawlers (Google, Bing, etc.). The XML sitemap includes URLs for all published pages: products, categories, manufacturers, topics, blog posts, and news items (based on their 'Include in sitemap' settings). The sitemap supports SEO features: search engine friendly page names, meta titles, meta keywords, meta descriptions, canonical URLs, Open Graph tags, Twitter meta tags, and microdata/structured data markup. The SEO settings are configurable in Configuration → Settings → General settings → SEO panel."
REQ114,F116_Responsive Design,"The system shall ensure the sitemap page is responsive and accessible on both desktop and mobile devices. nopCommerce's default themes (including the Default Clean theme) are built with responsive web design principles using CSS media queries and flexible layouts. The sitemap page, along with all other store pages, automatically adapts to different screen sizes — desktop monitors, tablets, and mobile phones. The responsive layout adjusts navigation menus (hamburger menu on mobile), product grids, forms, and content areas to fit the viewport. Supported browsers include Microsoft Edge, Mozilla Firefox, Google Chrome, and Apple Safari."
REQ115,F117_Accessibility Compliance,"The system shall comply with web accessibility standards to ensure usability for all users. nopCommerce implements web accessibility features including: semantic HTML structure, alt text for images (configurable per product image), proper heading hierarchy, keyboard navigation support, form labels and ARIA attributes, sufficient color contrast in default themes, and focus indicators for interactive elements. The platform supports screen readers through proper HTML semantics. Store owners can further enhance accessibility through theme customization, custom CSS, and third-party accessibility plugins. nopCommerce's open-source nature allows developers to implement WCAG (Web Content Accessibility Guidelines) compliance as needed."
REQ116,F118_Sitemap Description,The system shall provide a brief description at the top of the sitemap page explaining its purpose. The sitemap page displays introductory text at the top explaining that it provides a comprehensive list of all sections and pages of the website for easy navigation. This description is managed as a Topic/Page in Content management → Topics and can be customized by the store administrator. The description helps users understand the purpose of the sitemap and how to use it to find specific sections of the store.
